time,midValue
0,-0.06854185409122
0.0005,-0.06548821771551
0.001,-0.062450982410449
0.0015,-0.059430060085943
0.002,-0.056425363125028
0.0025,-0.053436804381332
0.003,-0.050464297176545
0.0035,-0.047507755297905
0.004,-0.044567092995699
0.0045,-0.041642224980777
0.005,-0.038733066422076
