time,expect_max_T,k_from_stm,max_temp
0,0,0,0
10,749.69904529489,4.0048210789873,737.85100268373
20,749.69904529489,4.0048210789873,748.108008433
30,749.69904529489,4.0048210789873,749.48538424414
40,749.69904529489,4.0048210789873,749.67035268887
