time,expect_max_T,k_from_stm,max_temp
0,0,0,0
10,653.84615384615,6.5,650.02201510631
20,653.84615384615,6.5,653.7151022676
30,653.84615384615,6.5,653.84166416869
40,653.84615384615,6.5,653.84600069446
