stdev
2552139.1852326
8841043.956442
12433354.828028
11833756.304805
9977198.654923
13286011.674669
17040618.410996
16062470.831325
13439882.407597
16404237.296619
14991654.765123
14678013.987848
15589727.245277
15566300.489344
14600747.51705
11755410.268588
12140512.206485
15684996.925202
13908143.83703
13524024.727979
11763867.21958
15354170.681586
16179021.584016
14186159.144768
11589895.048566
11482793.956921
9362239.7397859
7911703.1129095
6596168.6905365
3066766.1246633
