avg_q
9371287.0062436
29930744.907722
48160757.56342
58294146.799467
51585935.803688
69522753.47321
88761902.167862
93566522.338677
103670134.6513
98094944.75958
103632122.45997
91175570.548914
103096865.63634
113928696.14512
113494411.21867
79244009.182186
90002848.244896
85651303.52516
83745306.362351
89796946.063122
84453569.075463
103051963.98798
91222603.955452
79151081.245678
62639227.657456
57995547.3877
55353100.65022
43847350.608277
25813975.408573
11960267.729038
