block_axial_avg
607.1445620192
616.10876557652
631.81362016998
650.4380385666
671.72647572401
702.71859610876
736.63242762708
767.29595951194
802.96924632696
842.80189008086
886.59993026959
934.05956997084
980.84787025963
1026.2034211496
1065.68614949
1104.0353385067
1150.7124937152
1201.2209223316
1244.3953596491
1282.6282197763
1315.7812375559
1343.1567897696
1373.1020150681
1394.3598970393
1407.4374970296
1423.7954553029
1437.355869245
1447.4867135886
1451.5436497479
1448.3452298635
